file,minuto,placar,fired_methods
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,38,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,38,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,38,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,38,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,38,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,39,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,40,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,41,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,42,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,43,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,44,0-0,
telemetria_Adelaide_United_Youth_v_Adelaide_Comets_20-06-2026.txt,44,0-0,
